Name,Description,URL,Category,,Purpose,Activities,Tags,Digital Harms Addressed,Tech Focus,Supported identity technologies,Parent Org,Me2B Participation,People,Audience,Partners,Working group,License,,Version or Edition,Date Begun,Date Ended,Status,,,Scope,Location(s),,Twitter Profile,,Github Profile,Relevant Publications
Lumen Database ,The Lumen database collects and analyzes legal complaints and requests for removal of online materials: helping Internet users to know their rights and understand the law. These data enable us to study the prevalence of legal threats and let Internet users see the source of content removals.,https://lumendatabase.org/,,,education: Consumer support,Consumer Support,,,,,,,,,,,,,,,,Inactive,,,,,,,,
Data & Design by LINC,Co-building user journeys compliant with the GDPR and respectful of privacy.,https://design.cnil.fr/en/,,,,,,,,,Data & Design by LINC,,,,,,,,,,,,,,,,,,,
CNIL,To protect personal data: support innovation: preserve individual liberties,https://www.cnil.fr/en/home,,,,,,,,,CNIL,,,,,,,,,,,,,,,,,,,
Platform Cooperativism Consortium,A hub that helps you start: grow: or convert to platform co-ops.,https://platform.coop/,service,,,,,,,,Platform Cooperativism Consortium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rvoke,Quickly and easily manage your data requests in bulk: saving you stress: time and money.," 
https://rvoke.com",,,,,,,,,Rvoke,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Usable Privacy Policy Project,,https://usableprivacy.org/,,,,,,,,,Usable Privacy Project,,,,,,,,,,,,,,,,,,,
Am Unique.org,Learn how identifiable you are on the Internet,https://amiunique.org/,Service,,,,,,,,Am Unique.org,,,,,,,,,,,,,,,,,,,
Common Terms,,http://commonterms.org/,Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Notice,,htttp://law.mit.edu/opennotice,Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zynga's Privacyville,"Gamification of Privacy Terms. Website privacy policies: like their terms of use agreements: are onerously long: bafflingly complex legal documents that hundreds of millions of people accept without ever reading. As social media sites accrue more and more of our personal information while always developing new ways to exploit our data: they are increasingly targeted by hackers and law enforcement. In short: those long privacy statements: which we never read and which get longer all the time: matter more and more.

That’s why a trio of Yale students have developed a free service for websites called Privacy Simplified. Answer a few questions about your site and PS will generate a series of icons you can display to clearly explain the most important aspects of your privacy policy.",https://readwrite.com/2011/07/07/privacyville_zyngas_new_game_to_educate_users_abou/,Terms,,,,,,,,,, ,,,,,,,,,,,,,,,,,
Yale privacy icon work,Simplified UX for Terms of Service; masters thesis.,https://www.macleans.ca/society/technology/privacy-simplified/,Tearms: Icons for Meaning Making,,,,,,,,,UX reference,,,,,,,,,,defunct?,,,,,,,,
I Agree To (master's thesis),Developed in cooperation with Kantara Initiative:  A nutrition facts label for the information we share online.,http://gregg.io/mfa/,Terms,,usability,,,,,,,UX reference,,,,,,,,,,,,,,,,,,
StandardLabel,Developed in   Kantara Initiative:  A nutrition facts label for the information we share online.,standardlabel.org,Icons for Meaning Making: Terms,,usability,,,,,,,UX reference.,,,,,,,,,,,,,,,,,,
,The Privacy Commons is a project that aims to do for Privacy what the Creative Commons. if you'd like to be involved please email hello at this domain.,standardlabel.com,Software (Plugin) ,,,,,,,,,UX reference.,,,,,,,,,,Inactive,,,,,,,,
Privacy Commons,,privacycommons.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmanciTerms,,https://blogs.harvard.edu/vrm/category/emanciterm/,Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youluh,,http://www.x2xroads.com/,Terms,,,,,,,,,Content source for Customer Commons Terms creation.,,,,,,,,,,Inactive?,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meaningful Consent,"Research grant at Southampton University UK.  

Consent increasingly underpins our digital activities - it underpins the legal contracts we “agree” to when using Social Networking Services and is an important concept in the new European Data Protection regulations.

But often the consent we give is meaningless! We tick the box without knowing what it means: or click the button just to get rid of the message. This poses problems for individuals who aren't aware of their rights and obligations: and for organisations that rely on this meaningless consent as a legal protection.",http://www.meaningfulconsent.org/,,,,,,,,,,Certification Candidate,M.C. Schraefel: Enrico Gerding,,,,,,,,,Active,,,,,,,,
Hide My Ass,Part of Avast.com,https://www.hidemyass.com/en-us/internet-privacy-tools,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Signal,,,software product (application),,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
DuckDuckGo,,,Service,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Brave Browser,,,software product (application),,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Lifescope,,,open source ,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Solid,,,open source,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
One.thing.Less,,https://www.onethingless.com,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
commidfy.us,"commodify.us is a web application that allows people to visualize and license their Facebook data directly to marketers. After exporting it from Facebook and uploading it to commodify.us: users can choose to license their anonymized data under private: fair use: or commercial licenses and effectively cut out the middle man.
",http://commodify.us,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Mozilla,Firefox,,software product (application): ,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
PrivacyMonitor,Knowing who to trust with your personal data can be confusing. Shouldn’t it be easy? With Privacy Monitor by Osano: it is!,https://www.privacymonitor.com ,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Privicons,Privicons is a simple approach to expressing how you want your email to be treated by the recipient. Do you want it [X]kept secret? Or do you want the information to be [>]shared with the world? Think of it as washing tags for email privacy.,http://privicons.org/,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
TrustArc / Trust-e,Certificaiton,https://www.trustarc.com/products/certifications/,,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
"TRUSTe APEC CBPR and PRP
Privacy Certifications",Demonstrate privacy compliance with TRUSTe APEC Cross Border Privacy Rules (CBPR) and Privacy Recognition for Processors (PRP) Certifications.,https://www.trustarc.com/products/apec-certification/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
"TRUSTe Children's Privacy / COPPA
Assessments & Certifications",Demonstrate your commitment to kids' privacy with a COPPA certification.,https://www.trustarc.com/products/coppa-certification/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
TRUSTe Enterprise Privacy Certification,Ensure your business: products: and services demonstrate responsible data collection: processing and privacy management practices.,https://www.trustarc.com/products/enterprise-privacy-certification/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
TRUSTe EU-US Privacy Shield Solutions,Demonstrate EU-US Privacy Shield compliance for customer and employee data transfers with an independent third party review and verification.,https://www.trustarc.com/products/eu-us-privacy-shield/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
"TRUSTe APEC CBPR and PRP
Privacy Certifications",Demonstrate privacy compliance with TRUSTe APEC Cross Border Privacy Rules (CBPR) and Privacy Recognition for Processors (PRP) Certifications.,https://www.trustarc.com/products/apec-certification/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
EDAA Privacy Certification,Demonstrate privacy compliance for EDAA requirements with an independent third party review and certification from TRUSTe.,https://www.trustarc.com/products/edaa-certification/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
TRUSTe Data Collection Certification,Demonstrate privacy compliance and a high commitment to following data collection best practices with an independent third party review and certification from TRUSTe.,https://www.trustarc.com/products/data-certification/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
TRUSTe Privacy Dispute Resolution,Meet independent recourse mechanism and privacy dispute resolution requirements for EU US Privacy Shield and other regulatory requirements.,https://www.trustarc.com/products/dispute-resolution-services/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
TrustArc GDPR Validation,TrustArc GDPR Validation provides an independent way to demonstrate GDPR compliance to customers and partners.,https://www.trustarc.com/products/gdpr-certification-validation/,service,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
Privacy Icons,Here are the proposed icons. These are the result of a number of working groups convened by Aza Raskin. We are seeking to develop boilerplate legal text to back up each of the icons. The initial designs provided here are by Michael Nieling & Ocupop: designers of the official HTML5 logos. They are not yet final. ,https://wiki.mozilla.org/Privacy_Icons,Icons for Meaning Making: Terms,,,,,,,,,,,,,,,,,,,,Active,,,,,,,
"The ""Respects Your Freedom"" computer hardware product certification program","The ""Respects Your Freedom"" computer hardware product certification program encourages the creation and sale of hardware that will do as much as possible to respect your freedom and your privacy: and will ensure that you have control over your device.The Free Software Foundation (FSF) is a nonprofit with a worldwide mission to promote computer user freedom. We defend the rights of all software users.",https://www.fsf.org/resources/hw/endorsement/respects-your-freedom ,,,certification and compliance,certification,,,,,Free Software Foundation,,,,,,,,,,,,Active,,,,,,,
PrivacyMonitor,Knowing who to trust with your personal data can be confusing. Shouldn’t it be easy? With Privacy Monitor by Osano: it is!,https://www.privacymonitor.com ,,,,,,,,,Osano,,Privacy Monitor apps and browser extensions,,,,,,,,,,Active,,,,,,,
Open Data ToolKit - Worldbank,,http://opendatatoolkit.worldbank.org/en/starting.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IoT Trust Framework:  ,The Internet of Things (IoT) offer consumers: businesses: and governments across the globe countless benefits. As is true with most emerging technology: however: there remain some significant challenges. The Online Trust Alliance (OTA): an Internet Society initiative: believes that through leadership: innovation: and collaboration: we can overcome these challenges and create a safer and more trustworthy connected world. This requires a shared responsibility including industry embracing security and privacy by design: and adopting responsible privacy practices.,https://www.internetsociety.org/resources/doc/2018/iot-trust-by-design,,,,certification: ,,,,,The Internet Society: Online Trust Alliance,,Steve Olshansky,,,,,,,,,,,,,,,,,
Open WPM (Web Privacy Measurement),OpenWPM is a web privacy measurement framework which makes it easy to collect data for privacy studies on a scale of thousands to millions of websites. OpenWPM is built on top of Firefox: with automation provided by Selenium. It includes several hooks for data collection. Check out the instrumentation section below for more details.,https://github.com/mozilla/OpenWPM,,,,,,,,,Mozilla Foundation,,,,,,,,,,,,,,,,,,,https://github.com/mozilla/OpenWPM#
Open WPM Mobile,OpenWPM is a web privacy measurement framework which makes it easy to collect data for privacy studies on a scale of thousands to millions of websites. OpenWPM is built on top of Firefox: with automation provided by Selenium. It includes several hooks for data collection. Check out the instrumentation section below for more details.,https://github.com/sensor-js/OpenWPM-mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/mozilla/OpenWPM#
DCTP -> our Data Bodies Project,"DCTP is currently engaged in a local data justice campaign as part of a two year participatory national research project: called the “Our Data Bodies Project:” in collaboration with the New America Foundation and the Detroit Digital Justice Coalition.

The O.D.B. Project is a collaboration between academics and community-based organizations to explore the meaning and experience of privacy and data flows among poor and working class adults in three U.S. cities: Detroit: MI; Charlotte: NC; and Los Angeles: CA.",https://alliedmedia.org/dctp/datajustice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chupadatos (""The Data Sucker"")",This project gathers stories from across Latin America about the mass collection and processing of data that governments: businesses and we ourselves carry out to monitor our cities: homes: wallets and bodies.,https://chupadados.codingrights.org/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equitable Internet Initiative,"From July: 2016 to January: 2018: we will work together to ensure that more Detroit residents have the ability to leverage digital technologies for social and economic development.

The goals of this initiative are to:

increase Internet access through the distribution of shared Gigabit Internet connections in three underserved neighborhoods;
increase Internet adoption through a Digital Stewards training program that prepares residents of those same neighborhoods with the skills necessary to bring their communities online; and
increase pathways for youth into the opportunities of Detroit's burgeoning Innovation District through intermediate and advanced digital literacy trainings.",https://alliedmedia.org/dctp/eii,,,,,,,,,Allied Media Projects,,,,,,,,,,,,,,,,,,,
#MoreThanCode,#MoreThanCode aims to make the voices of these diverse practitioners heard. Our goals are to I. explore the current ecosystem; II. expand understanding of practitioner demographics; III. develop and share knowledge of practitioner experiences; IV. capture practitioner visions and values; and V. document stories of success and failure. We focus primarily on practitioners who work in the United States.,https://morethancode.cc/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expedite Project,EXPloring opportunities and challenges for Emerging personal DaTa Ecosystems,https://www.expedite-project.eu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trustless Computing Certification Body (TCCB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rvoke,Rvoke is a cross-platform (iOS and Android) app for you to reduce your digital footprint and take control of your personal data.,https://rvoke.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atam.ID,Cut risks and costs with seamless KYC solutions for your business,https://atam.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usable Privacy Project,,https://usableprivacy.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helm:  ,,https://thehelm.com/,company,for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fight for the Future Projects,,https://www.fightforthefuture.org/projects/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Trust,,https://www.onetrust.com/,,,,,,,,,One Trust,,,,,,,,,,,,,,,,,,,
