Label,Description,URL,Category,Sector,Purpose,Activities,,,,,Parent Org,,People,Audience,,Frequency?,License,,,Start Date,End Date,Status,Annual Budget,FundingÂ,Scope,Location(s),,,,,,
The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),Certification,https://standards.ieee.org/industry-connections/ecpais.html,legal document,,governance,,,,,,The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),,
The Data Portability Cooperation,Portability format JSON structure,https://www.dataportabilitycooperation.org/ ,,,,,,,,,The Data Portability Cooperation,,
Tech Equity Book Club ,Three or four times a year we’ll be selecting a book that helps us deepen our knowledge on how we build a more equitable community and hosting an event to discuss the topic further. Book Club is open to all and we look forward to seeing you at a future event. Stay in the loop and enter your email below to be notified when we schedule our next book club event.,https://techequitycollaborative.org/events/book-club/,,,,,,,,,Tech Equity ,,Chair: David Snelling
COEL Working Group,,http://www.oasis-open.org/committees/coel/,,,,,,,,,,,
